id,hugo,info,entrez,created_at,updated_at
845,PLA2G7,,7941,,
846,KCNC4,,3749,,
847,SNPH,,9751,,
848,ACHE,,43,,
849,CLSTN3,,9746,,
850,MYCN,,4613,,
851,CDK6,,1021,,
852,TNFSF8,,944,,
853,NAB2,,4665,,
854,PAIP2B,,400961,,
855,ORC2,,4999,,
856,MAML2,,84441,,
857,ATP6V0E1,,8992,,
858,SLCO1A2,,6579,,
859,TRIM22,,10346,,
860,LAMA3,,3909,,
861,ALOX5,,240,,
862,HMOX1,,3162,,
863,TNFSF10,,8743,,
864,MAFB,,9935,,
865,DGKQ,,1609,,
866,C8orf59,,401466,,
867,CXADR,,1525,,
868,BMP2,,650,,
869,AGFG1,,3267,,
870,ACVR1,,90,,
871,KIAA0100,,9703,,
872,CDC20,,991,,
873,KIAA0754,,643314,,
874,KLF13,,51621,,
875,C11orf41,,25758,,
876,CRCT1,,54544,,
877,GATM,,2628,,
878,CSF3,,1440,,
879,CEL,,1056,,
880,CDH17,,1015,,
881,KRT5,,3852,,
882,GTDC1,,79712,,
883,PPT2,,9374,,
884,ENTPD6,,955,,
885,TLX2,,3196,,
886,NRIP1,,8204,,
887,UPK2,,7379,,
888,UPK3B,,80761,,
889,H2AFJ,,55766,,
890,HNRNPA3,,220988,,
891,GBF1,,8729,,
892,ESRRB,,2103,,
893,RAC1,,5879,,
894,AXIN1,,8312,,
895,SPIB,,6689,,
896,CXCR3,,2833,,
897,ZNF302,,55900,,
898,TNXB,,7148,,
899,MT2A,,4502,,
900,PKP1,,5317,,
901,ANGPTL1,,9068,,
902,DHCR24,,1718,,
903,GRAMD1A,,57655,,
904,LDLR,,3949,,
905,DDX3Y,,8653,,
906,ZNF674,,641339,,
907,DHFR,,1719,,
908,TMEM8B,,51754,,
909,COL2A1,,1280,,
910,DYNC1I1,,1780,,
911,DSG3,,1830,,
912,PTGIS,,5740,,
913,PLEKHA2,,59339,,
914,MMP3,,4314,,
915,PRSS29P,,123787,,
916,NLGN3,,54413,,
917,RET,,5979,,
918,BMPR2,,659,,
919,PRRG2,,5639,,
920,C10orf10,,11067,,
921,MEST,,4232,,
922,ATP9B,,374868,,
923,CAPS,,828,,
924,SYNM,,23336,,
925,UBIAD1,,29914,,
926,PIK3C2B,,5287,,
927,FMN2,,56776,,
928,HINT1,,3094,,
929,LETMD1,,25875,,
930,IFI44,,10561,,
931,VTCN1,,79679,,
932,TM4SF1,,4071,,
933,SH3BGRL,,6451,,
934,C8orf4,,56892,,
935,SOAT2,,8435,,
936,HELLS,,3070,,
937,GPR37,,2861,,
938,PNOC,,5368,,
939,RPL3L,,6123,,
940,CXorf56,,63932,,
941,APOBEC3F,,200316,,
942,DDIT3,,1649,,
943,C1orf159,,54991,,
944,NLGN4Y,,22829,,
945,GZMB,,3002,,
946,PCDHA5,,56143,,
947,ABO,,28,,
948,PRODH2,,58510,,
949,KIF21B,,23046,,
950,SCGN,,10590,,
951,MED23,,9439,,
952,ZNF117,,51351,,
953,CTRB1,,1504,,
954,NARF,,26502,,
955,PTRF,,284119,,
956,ENG,,2022,,
957,NR0B1,,190,,
958,TRIB3,,57761,,
959,ID4,,3400,,
960,GAS2,,2620,,
961,HLA-DPB1,,3115,,
962,PRR16,,51334,,
963,DDX4,,54514,,
964,SRGAP2,,23380,,
965,LAMC3,,10319,,
966,APOBEC2,,10930,,
967,SH2D1A,,4068,,
968,RGL3,,57139,,
969,TMEM66,,51669,,
970,MRPL45,,84311,,
971,PTMA,,5757,,
972,ARRDC4,,91947,,
973,RAD51D,,5892,,
974,THRSP,,7069,,
975,RASSF4,,83937,,
976,CAMKV,,79012,,
977,BCAS1,,8537,,
978,ELMO3,,79767,,
979,BIRC3,,330,,
980,CACNG3,,10368,,
981,CUX2,,23316,,
982,IQCG,,84223,,
983,EXOSC10,,5394,,
984,DSC1,,1823,,
985,SNRNP35,,11066,,
986,CDKN1B,,1027,,
987,SKIL,,6498,,
988,TSPY26P,,128854,,
989,C8orf48,,157773,,
990,MAPKAPK5,,8550,,
991,HTRA2,,27429,,
992,RGS16,,6004,,
993,RBM47,,54502,,
994,FGFBP1,,9982,,
995,ASL,,435,,
996,ASPH,,444,,
997,SERPINB10,,5273,,
998,TFPI,,7035,,
999,CXCR2,,3579,,
1000,PNMA3,,29944,,
1001,KLF11,,8462,,
1002,SLC26A2,,1836,,
1003,TMOD3,,29766,,
1004,IGF1R,,3480,,
1005,RGS2,,5997,,
1006,CHEK2,,11200,,
1007,SDS,,10993,,
1008,LRRC37A2,,474170,,
1009,FOXE3,,2301,,
1010,TM4SF4,,7104,,
1011,ETV1,,2115,,
1012,PRSS8,,5652,,
1013,OPN3,,23596,,
1014,STAU1,,6780,,
1015,VCAN,,1462,,
